project_name,start_date,end_date,dslbd_proposed_budget,dslbd_approved_budget,non-dslbd_budget,total_proposed_project_costs,total_amount_submitted_by_grantee,total_cbe_expense_amount,approved_expenses,remaining_dslbd_funds_ytd,add_expense,year,proposal_number,org_code
Audit,2016-01-01 00:00:00,2016-03-31 00:00:00,5000.0,5000.0,0,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=395&z=bh96,2016,35,HDCMS
Print Newsletter,2015-10-01 00:00:00,2016-09-30 00:00:00,16000.0,16000.0,600,16600.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=406&z=bh96,2016,35,HDCMS
Staff,2015-10-01 00:00:00,2015-12-31 00:00:00,37500.0,37500.0,80000,117500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=405&z=bh96,2016,35,HDCMS
Sign-Awning Grant,2015-10-01 00:00:00,2016-09-30 00:00:00,6000.0,6000.0,6000,12000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=404&z=bh96,2016,35,HDCMS
Banner Permitting & Installation,2015-12-01 00:00:00,2016-01-31 00:00:00,3000.0,3000.0,10000,13000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=403&z=bh96,2016,35,HDCMS
Art All Night,2016-09-24 00:00:00,2016-09-25 00:00:00,8000.0,8000.0,12000,20000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=402&z=bh96,2016,35,HDCMS
Taste of Dupont,2016-04-01 00:00:00,2016-05-31 00:00:00,5000.0,5000.0,10000,15000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=400&z=bh96,2016,35,HDCMS
Dupont Christmas Tree,2015-12-01 00:00:00,2015-12-31 00:00:00,1000.0,1000.0,1000,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=399&z=bh96,2016,35,HDCMS
Print Advertising,2015-10-01 00:00:00,2016-09-30 00:00:00,6000.0,6000.0,4000,10000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=398&z=bh96,2016,35,HDCMS
Website refresh,2015-11-01 00:00:00,2015-12-31 00:00:00,3000.0,3000.0,0,3000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=397&z=bh96,2016,35,HDCMS
Main Street Conference,2016-04-01 00:00:00,2016-05-31 00:00:00,2000.0,2000.0,0,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=396&z=bh96,2016,35,HDCMS
17th Street Festival,2016-09-10 00:00:00,2016-09-11 00:00:00,32000.0,32000.0,30000,62000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=401&z=bh96,2016,35,HDCMS
Barks and Brews,,,2000.0,0.0,2000,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=850&z=biem,2018,63,VNMS
Accounting Services,,,7000.0,7000.0,0,7000.0,1791.94,0.0,1791.94,5208.06,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=857&z=biem,2018,63,VNMS
Van Ness Marketing ,,,5330.0,5330.0,0,5330.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=855&z=biem,2018,63,VNMS
Administration,,,51100.0,51100.0,50750,101850.0,18878.09,0.0,18878.09,32221.91,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=860&z=biem,2018,63,VNMS
